%time,field.header.seq,field.header.stamp,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1683047717.421074939,43,1683047717.421074939,-0.00549449,0.00232742,0.00322603,0.00016403,-5.3046e-05,0.000175799,1
1683047717.524589934,44,1683047717.524589934,-0.00276637,0.00294074,0.00369947,0.000166328,-7.76069e-05,0.000115378,1
1683047717.633951515,45,1683047717.633951515,0.00189454,0.00574698,0.00340249,0.00015996,-5.30974e-06,8.05971e-05,1
1683047717.733688049,46,1683047717.733688049,-0.00178141,0.00277621,0.00301492,0.000180375,-1.19138e-05,0.000150131,1
1683047717.799643738,47,1683047717.799643738,-0.00354086,0.00391491,-5.87404e-05,0.000150945,-0.00013521,7.3385e-05,1
1683047717.899112769,48,1683047717.899112769,-0.00429803,0.00517902,-0.000991165,9.54179e-05,-0.000175174,0.000200874,1
1683047717.998664274,49,1683047717.998664274,-0.00589795,0.0059912,-0.000878471,0.000154185,-0.000131574,7.46653e-05,1
1683047718.097186123,50,1683047718.097186123,-0.00194802,0.0023879,0.00218115,0.000123531,-5.78325e-05,0.000101065,1
1683047718.266138407,51,1683047718.266138407,-0.00118618,0.00486481,0.00259929,0.000160471,-8.40438e-05,5.98953e-05,1
1683047718.359905982,52,1683047718.359905982,-0.00461966,0.00419414,0.00434818,0.000142384,-5.70456e-05,0.000142356,1
1683047718.458330143,53,1683047718.458330143,-0.00467775,0.00160891,0.00418418,0.000155712,-4.52753e-05,0.000206954,1
1683047718.544481363,54,1683047718.544481363,-0.000987684,0.00227747,0.00377596,0.000190507,1.0522e-05,5.80307e-05,1
1683047718.698040270,55,1683047718.698040270,-0.00234196,0.0024792,0.00350398,0.000220116,1.53757e-05,0.000166644,1
1683047718.778416576,56,1683047718.778416576,-0.00641488,0.00333269,-0.000287961,0.000159457,-0.000138678,0.000130288,1
1683047718.874573430,57,1683047718.874573430,-0.00542238,0.00552291,-0.000160467,0.00013927,-0.000107356,0.000179316,1
1683047718.959114460,58,1683047718.959114460,-0.0085775,0.00321556,0.000411843,0.000176169,-0.000118583,0.000218792,1
1683047719.013117732,59,1683047719.013117732,-0.00844708,0.00318088,-0.000120318,0.000200074,-0.000126107,0.000154072,1
1683047719.127316317,60,1683047719.127316317,-0.00762126,0.00304678,0.00133265,0.000112531,-0.000128082,0.000189345,1
1683047719.307880821,61,1683047719.307880821,-0.00874628,0.00158828,0.00192976,0.000171712,-9.15421e-05,0.00021317,1
1683047719.342246460,62,1683047719.342246460,-0.00827323,0.00332222,0.00251267,0.000163949,-7.61324e-05,0.000184622,1
1683047719.419726477,63,1683047719.419726477,-0.00756338,0.00256058,0.00350591,0.000134047,-1.72647e-05,0.00021646,1
1683047719.523040497,64,1683047719.523040497,-0.00607702,0.00203177,0.00295601,0.000168712,-4.72849e-05,0.000208813,1
1683047719.620377720,65,1683047719.620377720,-0.00189124,0.00265465,0.00351079,0.000154955,-2.85508e-05,0.000111138,1
1683047719.722167557,66,1683047719.722167557,-0.00499194,0.00189564,0.00378315,0.000227001,3.70306e-06,0.000163566,1
1683047719.801964125,67,1683047719.801964125,-0.00444437,0.00452635,-6.30542e-05,0.000175729,-0.000115711,6.98857e-05,1
1683047719.906673523,68,1683047719.906673523,-0.00193765,0.00458331,-0.00113898,0.00011858,-0.000118885,4.38617e-05,1
1683047720.002586320,69,1683047720.002586320,-0.00555504,0.00338371,-0.000812345,0.000159519,-0.000165685,0.000180763,1
1683047720.101411510,70,1683047720.101411510,-0.00894756,0.00306299,-0.000819859,0.000167236,-0.000177325,0.000138529,1
1683047720.230525683,71,1683047720.230525683,-0.00526339,0.00271893,0.00122099,0.000155256,-7.68866e-05,0.000190599,1
1683047720.311751649,72,1683047720.311751649,-0.00453481,0.00365792,0.00132073,0.000152059,-0.00012156,0.000114388,1
1683047720.409523023,73,1683047720.409523023,-0.00246016,0.00325438,0.00200866,0.000130706,-0.000109609,0.000105928,1
1683047720.520674428,74,1683047720.520674428,-0.00233038,0.00256796,0.00224985,0.000139776,-3.80783e-05,0.000194306,1
1683047720.621926144,75,1683047720.621926144,-0.00432463,0.00242185,0.00355907,0.000183583,2.78215e-06,0.00022499,1
1683047720.724016965,76,1683047720.724016965,-0.00239247,0.00349974,0.00348762,0.000167971,-2.95636e-06,0.000167804,1
1683047720.832679385,77,1683047720.832679385,-0.00867153,0.00185579,0.00367827,0.000212482,-5.68072e-05,0.000210745,1
1683047720.901583550,78,1683047720.901583550,-0.0112472,0.00176804,-0.000472099,0.000168129,-0.0001472,0.000152405,1
1683047720.991510227,79,1683047720.991510227,-0.00827862,0.00167114,-0.00104682,0.000181687,-0.0001397,0.000104643,1
1683047721.098691506,80,1683047721.098691506,-0.00716374,0.00304362,-0.000531072,0.000148713,-0.000122446,0.000205654,1
1683047721.203189501,81,1683047721.203189501,-0.00368197,0.00262676,-0.000253977,0.000159688,-0.000157475,0.000153828,1
1683047721.317858318,82,1683047721.317858318,-0.00378764,0.00267491,0.00207945,0.00016086,-7.25853e-05,0.000203911,1
1683047721.409923416,83,1683047721.409923416,-0.00567777,0.00365754,0.00336529,0.00021121,-5.8816e-05,0.000219526,1
1683047721.510295970,84,1683047721.510295970,-0.00370375,0.00302027,0.0022631,0.000179101,-7.49026e-05,0.000103358,1
1683047721.627071632,85,1683047721.627071632,-0.0035445,0.00127431,0.00232632,0.000136026,-3.50605e-05,0.000154619,1
1683047721.721157057,86,1683047721.721157057,-0.00515866,0.000450118,0.00427782,0.000178489,-3.17817e-05,0.000274038,1
1683047721.831944540,87,1683047721.831944540,-0.00653932,0.00116009,0.0053649,0.000208403,-3.46623e-05,0.000181945,1
1683047721.934285077,88,1683047721.934285077,-0.00705189,0.00180733,0.00444242,0.000225462,-8.96611e-06,0.000217787,1
1683047722.095054588,89,1683047722.095054588,-0.00670728,0.00304811,8.85656e-05,0.000203981,-0.000142264,0.000123697,1
1683047722.126149129,90,1683047722.126149129,-0.00991088,0.00365652,-0.00150911,0.000132854,-0.000148803,0.000161069,1
1683047722.201941345,91,1683047722.201941345,-0.0109238,0.0015412,-0.000635497,0.000182553,-8.85922e-05,0.000241924,1
1683047722.302285822,92,1683047722.302285822,-0.0120493,0.00221347,-0.0003357,0.000199969,-0.000148078,0.000219709,1
1683047722.409491694,93,1683047722.409491694,-0.0122282,0.00217269,0.0023018,0.000139729,-8.80376e-05,0.000298391,1
1683047722.509687128,94,1683047722.509687128,-0.0147031,0.00136291,0.00136854,0.00016995,-0.000129601,0.000224029,1
1683047722.613829899,95,1683047722.613829899,-0.0106892,0.000808856,0.0026016,0.00018658,-7.12317e-05,0.000270602,1
1683047722.720242855,96,1683047722.720242855,-0.00779401,0.000935111,0.00367138,0.000190955,-3.46544e-05,0.000287786,1
1683047722.802123740,97,1683047722.802123740,-0.00643678,0.00235408,-0.000883246,0.000183835,-0.000138587,8.1451e-05,1
1683047722.904248879,98,1683047722.904248879,-0.00800854,0.00193046,-0.00231568,0.00015108,-0.000167004,0.000193392,1
1683047722.999949472,99,1683047722.999949472,-0.00797596,0.00227957,-0.00150544,0.000201932,-0.000128449,0.000113193,1
1683047723.103477957,100,1683047723.103477957,-0.0119542,0.00161641,-0.00157215,0.000190927,-0.000176157,0.000249106,1
1683047723.225201435,101,1683047723.225201435,-0.0113296,0.00327568,0.00108299,0.000138966,-0.000112285,0.00017593,1
1683047723.320956909,102,1683047723.320956909,-0.0092918,0.00273964,0.00178111,0.000169775,-0.000123599,0.000277769,1
1683047723.449415824,103,1683047723.449415824,-0.0106747,0.00266239,0.00246721,0.000195327,-9.32099e-05,0.000272011,1
1683047723.526316450,104,1683047723.526316450,-0.0111869,0.000959215,0.00357384,0.000179715,-2.66388e-05,0.000240217,1
1683047723.656384480,105,1683047723.656384480,-0.00992958,0.000899107,0.00391933,0.000176632,-3.21058e-05,0.00023317,1
1683047723.744301455,106,1683047723.744301455,-0.0109326,-0.000240025,0.00438774,0.00021071,-4.05967e-05,0.000278743,1
1683047723.808287713,107,1683047723.808287713,-0.0117212,0.000233586,-0.000226759,0.00020673,-0.000144289,0.000223872,1
